Number,Time(ms),Cost
5,3,432803.832621
6,3,453861.932457
3,3,264560.752465
4,3,403190.178148
9,4,525534.922244
7,4,454298.033890
8,4,525534.571160
10,5,563389.592504
11,6,701965.511293
12,12,733427.121949
13,20,733462.256981
14,37,762131.400230
15,109,787342.981235
17,393,841169.714305
16,544,831332.743439
18,1313,867543.263836
19,3115,901911.206234
20,7493,901977.308540
21,36459,912318.224414
22,88337,916032.639481
23,158605,923331.663588
24,258913,936543.467861
25,751071,998063.813474
26,1203127,1034033.875206
27,1439042,1040414.314279
