Number,Algorithm,Time (ms),Cost
3,tatt,3,264560.752465
3,cf,3,264560.752465
4,cf,3,403190.178148
4,tatt,3,403190.178148
5,tatt,2,432803.832621
5,cf,2,432803.832621
6,tatt,3,454229.603534
6,cf,3,453861.932457
7,cf,3,501204.778756
7,tatt,3,482299.985195
8,tatt,2,645111.884223
8,cf,3,555990.187596
9,cf,3,714033.233785
9,tatt,3,614915.810290
10,tatt,4,677562.403818
10,cf,4,759310.393790
11,tatt,3,783331.467183
11,cf,3,710011.901675
12,cf,4,929347.923235
12,tatt,4,901475.640033
13,tatt,3,875096.192813
13,cf,3,1021857.575025
14,tatt,3,897346.119720
14,cf,2,1016081.259132
15,tatt,3,922787.504572
15,cf,3,967544.593043
16,tatt,2,1048274.651364
16,cf,2,985504.472180
17,cf,3,943724.673322
17,tatt,3,1009269.539659
18,tatt,3,1063844.611019
18,cf,3,1173924.252261
19,cf,3,1218218.611869
19,tatt,3,1149348.670070
20,tatt,4,1137042.284310
20,cf,4,1283913.448565
21,tatt,3,1158687.363307
21,cf,2,1259261.830808
22,cf,3,1277693.549919
22,tatt,3,1174226.322543
23,tatt,3,1221541.608303
23,cf,3,1309223.044190
24,tatt,3,1234753.412576
24,cf,3,1273151.836368
25,tatt,3,1275624.454101
25,cf,3,1302670.330682
26,tatt,3,1365703.667777
26,cf,3,1205434.773058
27,cf,3,1115557.662901
27,tatt,3,1319119.311735
28,tatt,3,1309813.410644
28,cf,3,1184093.872121
29,cf,3,1156605.397706
29,tatt,3,1353650.844756
30,cf,4,1225233.307033
30,tatt,4,1383995.884478
