File,Time TATT,Time CF,Cost TATT,Cost CF
a280.tsp,4,6,3484.853377,3256.734085
bier127.tsp,3,4,155481.152441,136029.513834
brd14051.tsp,2215,69668,645836.304030,573315.006611
d1291.tsp,20,32,74061.694622,64933.696057
d15112.tsp,3340,90000,2215050.869184,1925390.962518
d1655.tsp,22,100,84280.021220,78115.423939
d18512.tsp,3826,132510,889765.844221,788858.888345
d198.tsp,3,5,19353.464051,20801.741524
d2103.tsp,29,35,124635.064369,87980.159289
d493.tsp,6,12,46029.584970,40186.771857
d657.tsp,7,20,65857.405696,58607.960426
eil101.tsp,3,4,860.864612,729.693183
eil51.tsp,3,3,615.351661,534.130160
eil76.tsp,3,4,749.274952,662.670971
fl1400.tsp,16,311,29225.726548,26546.569913
fl1577.tsp,18,55,30965.495374,26170.940088
fl3795.tsp,82,583,41702.057094,34158.114758
fl417.tsp,4,8,16189.205655,15065.521149
fnl4461.tsp,238,3739,250754.664577,221853.843177
gil262.tsp,4,6,3343.976962,2931.625484
kroA100.tsp,3,4,30516.941762,28035.864902
kroA150.tsp,4,5,38762.591793,32622.040942
kroA200.tsp,4,5,40235.253623,38897.831622
kroB100.tsp,4,4,28803.507215,27771.375401
kroB150.tsp,4,4,35292.369128,32154.364520
kroB200.tsp,4,5,40619.906597,35347.230845
kroC100.tsp,3,4,27632.821754,26988.722539
kroD100.tsp,4,4,28599.080321,25523.894725
kroE100.tsp,3,3,30978.579687,26553.370202
nrw1379.tsp,22,159,77169.435485,70038.756874
p654.tsp,5,8,49635.702884,44026.196044
pcb1173.tsp,13,51,81895.216636,69136.291158
pcb3038.tsp,58,848,195796.320216,165697.927005
pcb442.tsp,5,10,71280.827472,59523.459304
pr1002.tsp,10,58,351430.983859,312026.571164
pr107.tsp,4,3,55954.649469,63874.606322
pr124.tsp,3,4,82762.754697,77486.776738
pr136.tsp,3,4,146985.689974,127528.216329
pr144.tsp,4,4,77703.945296,88251.487464
pr152.tsp,3,4,90290.550691,91205.345608
pr226.tsp,4,5,114699.988971,113744.461700
pr2392.tsp,36,541,528148.397048,474067.433077
pr264.tsp,4,5,66408.447644,56996.297365
pr299.tsp,4,6,66098.863189,60424.631013
pr439.tsp,4,8,144156.094771,133049.369439
pr76.tsp,3,4,147670.295050,144380.934049
rat195.tsp,3,4,3265.078035,2707.606023
rat575.tsp,5,16,9468.818872,8426.585988
rat783.tsp,9,35,12018.995864,11077.928650
rat99.tsp,4,3,1671.062074,1532.945775
rd100.tsp,3,3,10467.190030,9910.232350
rd400.tsp,5,12,20978.227444,18866.822824
rl11849.tsp,1979,14348,1383449.362585,1115801.520257
rl1304.tsp,18,30,376119.066939,308063.830516
rl1323.tsp,18,30,390556.874881,335703.635351
rl1889.tsp,35,71,452653.146188,380188.476214
rl5915.tsp,273,789,850260.756574,667305.400268
rl5934.tsp,271,940,853172.172705,654760.499928
st70.tsp,3,3,861.765002,815.343903
ts225.tsp,3,4,188009.701629,162706.508643
tsp225.tsp,3,5,5398.760765,4891.832483
u1060.tsp,11,58,304205.062277,273467.825583
u1432.tsp,17,165,214202.734953,188958.693062
u159.tsp,3,4,54080.962841,52499.317099
u1817.tsp,22,113,82299.042696,72464.158616
u2152.tsp,34,179,94589.296094,79671.666958
u2319.tsp,38,1159,320147.543698,290378.959295
u574.tsp,5,16,50092.688360,44561.522281
u724.tsp,10,28,60190.410775,50969.460477
usa13509.tsp,1922,60438,27642095.206980,24482502.909187
vm1084.tsp,16,48,348841.282614,285753.867953
vm1748.tsp,34,165,483461.386026,429105.105120
