Filename,Algorithm,ElapsedTime,Cost
tsps/a280.tsp,tatt,4,3484.853377
tsps/a280.tsp,cf,6,3256.734085
tsps/bier127.tsp,tatt,3,155481.152441
tsps/bier127.tsp,cf,4,136029.513834
tsps/brd14051.tsp,tatt,2215,645836.304030
tsps/d198.tsp,tatt,3,19353.464051
tsps/d198.tsp,cf,5,20801.741524
tsps/d493.tsp,tatt,6,46029.584970
tsps/d493.tsp,cf,12,40186.771857
tsps/d657.tsp,tatt,7,65857.405696
tsps/d657.tsp,cf,20,58607.960426
tsps/d1291.tsp,tatt,20,74061.694622
tsps/d1291.tsp,cf,32,64933.696057
tsps/d1655.tsp,tatt,22,84280.021220
tsps/d1655.tsp,cf,100,78115.423939
tsps/d2103.tsp,tatt,29,124635.064369
tsps/d2103.tsp,cf,35,87980.159289
tsps/d15112.tsp,tatt,3340,2215050.869184
tsps/brd14051.tsp,cf,69668,573315.006611
tsps/d18512.tsp,tatt,3826,889765.844221
tsps/d15112.tsp,cf,90000,1925390.962518
tsps/eil51.tsp,tatt,3,615.351661
tsps/eil51.tsp,cf,3,534.130160
tsps/eil76.tsp,tatt,3,749.274952
tsps/eil76.tsp,cf,4,662.670971
tsps/eil101.tsp,tatt,3,860.864612
tsps/eil101.tsp,cf,4,729.693183
tsps/fl417.tsp,tatt,4,16189.205655
tsps/fl417.tsp,cf,8,15065.521149
tsps/fl1400.tsp,tatt,16,29225.726548
tsps/fl1400.tsp,cf,311,26546.569913
tsps/fl1577.tsp,tatt,18,30965.495374
tsps/fl1577.tsp,cf,55,26170.940088
tsps/fl3795.tsp,tatt,82,41702.057094
tsps/fl3795.tsp,cf,583,34158.114758
tsps/fnl4461.tsp,tatt,238,250754.664577
tsps/fnl4461.tsp,cf,3739,221853.843177
tsps/gil262.tsp,tatt,4,3343.976962
tsps/gil262.tsp,cf,6,2931.625484
tsps/kroA100.tsp,tatt,3,30516.941762
tsps/kroA100.tsp,cf,4,28035.864902
tsps/kroA150.tsp,tatt,4,38762.591793
tsps/kroA150.tsp,cf,5,32622.040942
tsps/kroA200.tsp,tatt,4,40235.253623
tsps/kroA200.tsp,cf,5,38897.831622
tsps/kroB100.tsp,tatt,4,28803.507215
tsps/kroB100.tsp,cf,4,27771.375401
tsps/kroB150.tsp,tatt,4,35292.369128
tsps/kroB150.tsp,cf,4,32154.364520
tsps/kroB200.tsp,tatt,4,40619.906597
tsps/kroB200.tsp,cf,5,35347.230845
tsps/kroC100.tsp,tatt,3,27632.821754
tsps/kroC100.tsp,cf,4,26988.722539
tsps/kroD100.tsp,tatt,4,28599.080321
tsps/kroD100.tsp,cf,4,25523.894725
tsps/kroE100.tsp,tatt,3,30978.579687
tsps/kroE100.tsp,cf,3,26553.370202
tsps/nrw1379.tsp,tatt,22,77169.435485
tsps/nrw1379.tsp,cf,159,70038.756874
tsps/p654.tsp,tatt,5,49635.702884
tsps/p654.tsp,cf,8,44026.196044
tsps/pcb442.tsp,tatt,5,71280.827472
tsps/pcb442.tsp,cf,10,59523.459304
tsps/pcb1173.tsp,tatt,13,81895.216636
tsps/pcb1173.tsp,cf,51,69136.291158
tsps/pcb3038.tsp,tatt,58,195796.320216
tsps/pcb3038.tsp,cf,848,165697.927005
tsps/pr76.tsp,tatt,3,147670.295050
tsps/pr76.tsp,cf,4,144380.934049
tsps/pr107.tsp,tatt,4,55954.649469
tsps/pr107.tsp,cf,3,63874.606322
tsps/pr124.tsp,tatt,3,82762.754697
tsps/pr124.tsp,cf,4,77486.776738
tsps/pr136.tsp,tatt,3,146985.689974
tsps/pr136.tsp,cf,4,127528.216329
tsps/pr144.tsp,tatt,4,77703.945296
tsps/pr144.tsp,cf,4,88251.487464
tsps/pr152.tsp,tatt,3,90290.550691
tsps/pr152.tsp,cf,4,91205.345608
tsps/pr226.tsp,tatt,4,114699.988971
tsps/pr226.tsp,cf,5,113744.461700
tsps/pr264.tsp,tatt,4,66408.447644
tsps/pr264.tsp,cf,5,56996.297365
tsps/pr299.tsp,tatt,4,66098.863189
tsps/pr299.tsp,cf,6,60424.631013
tsps/pr439.tsp,tatt,4,144156.094771
tsps/pr439.tsp,cf,8,133049.369439
tsps/pr1002.tsp,tatt,10,351430.983859
tsps/pr1002.tsp,cf,58,312026.571164
tsps/pr2392.tsp,tatt,36,528148.397048
tsps/pr2392.tsp,cf,541,474067.433077
tsps/rat99.tsp,tatt,4,1671.062074
tsps/rat99.tsp,cf,3,1532.945775
tsps/rat195.tsp,tatt,3,3265.078035
tsps/rat195.tsp,cf,4,2707.606023
tsps/rat575.tsp,tatt,5,9468.818872
tsps/rat575.tsp,cf,16,8426.585988
tsps/rat783.tsp,tatt,9,12018.995864
tsps/rat783.tsp,cf,35,11077.928650
tsps/rd100.tsp,tatt,3,10467.190030
tsps/rd100.tsp,cf,3,9910.232350
tsps/rd400.tsp,tatt,5,20978.227444
tsps/rd400.tsp,cf,12,18866.822824
tsps/rl1304.tsp,tatt,18,376119.066939
tsps/rl1304.tsp,cf,30,308063.830516
tsps/rl1323.tsp,tatt,18,390556.874881
tsps/rl1323.tsp,cf,30,335703.635351
tsps/rl1889.tsp,tatt,35,452653.146188
tsps/rl1889.tsp,cf,71,380188.476214
tsps/rl5915.tsp,tatt,273,850260.756574
tsps/rl5915.tsp,cf,789,667305.400268
tsps/rl5934.tsp,tatt,271,853172.172705
tsps/rl5934.tsp,cf,940,654760.499928
tsps/rl11849.tsp,tatt,1979,1383449.362585
tsps/rl11849.tsp,cf,14348,1115801.520257
tsps/st70.tsp,tatt,3,861.765002
tsps/st70.tsp,cf,3,815.343903
tsps/ts225.tsp,tatt,3,188009.701629
tsps/ts225.tsp,cf,4,162706.508643
tsps/tsp225.tsp,tatt,3,5398.760765
tsps/tsp225.tsp,cf,5,4891.832483
tsps/u159.tsp,tatt,3,54080.962841
tsps/u159.tsp,cf,4,52499.317099
tsps/u574.tsp,tatt,5,50092.688360
tsps/u574.tsp,cf,16,44561.522281
tsps/u724.tsp,tatt,10,60190.410775
tsps/u724.tsp,cf,28,50969.460477
tsps/u1060.tsp,tatt,11,304205.062277
tsps/u1060.tsp,cf,58,273467.825583
tsps/u1432.tsp,tatt,17,214202.734953
tsps/u1432.tsp,cf,165,188958.693062
tsps/u1817.tsp,tatt,22,82299.042696
tsps/u1817.tsp,cf,113,72464.158616
tsps/u2152.tsp,tatt,34,94589.296094
tsps/u2152.tsp,cf,179,79671.666958
tsps/u2319.tsp,tatt,38,320147.543698
tsps/u2319.tsp,cf,1159,290378.959295
tsps/usa13509.tsp,tatt,1922,27642095.206980
tsps/usa13509.tsp,cf,60438,24482502.909187
tsps/vm1084.tsp,tatt,16,348841.282614
tsps/vm1084.tsp,cf,48,285753.867953
tsps/vm1748.tsp,tatt,34,483461.386026
tsps/vm1748.tsp,cf,165,429105.105120
tsps/d18512.tsp,cf,132510,788858.888345
