File,Time TATT,Time CF,Cost TATT,Cost CF,Optimal
a280.tsp,4,6,3484.853377,3256.734085,2579
bier127.tsp,3,4,155481.152441,136029.513834,118282
brd14051.tsp,2215,69668,645836.30403,573315.006611,469385
d1291.tsp,20,32,74061.694622,64933.696057,50801
d15112.tsp,3340,90000,2215050.869184,1925390.962518,1573084
d1655.tsp,22,100,84280.02122,78115.423939,62128
d18512.tsp,3826,132510,889765.844221,788858.888345,645238
d198.tsp,3,5,19353.464051,20801.741524,15780
d2103.tsp,29,35,124635.064369,87980.159289,80450
d493.tsp,6,12,46029.58497,40186.771857,35002
d657.tsp,7,20,65857.405696,58607.960426,48912
eil101.tsp,3,4,860.864612,729.693183,629
eil51.tsp,3,3,615.351661,534.13016,426
eil76.tsp,3,4,749.274952,662.670971,538
fl1400.tsp,16,311,29225.726548,26546.569913,20127
fl1577.tsp,18,55,30965.495374,26170.940088,22249
fl3795.tsp,82,583,41702.057094,34158.114758,28772
fl417.tsp,4,8,16189.205655,15065.521149,11861
fnl4461.tsp,238,3739,250754.664577,221853.843177,182566
gil262.tsp,4,6,3343.976962,2931.625484,2378
kroA100.tsp,3,4,30516.941762,28035.864902,21282
kroA150.tsp,4,5,38762.591793,32622.040942,26524
kroA200.tsp,4,5,40235.253623,38897.831622,29368
kroB100.tsp,4,4,28803.507215,27771.375401,22141
kroB150.tsp,4,4,35292.369128,32154.36452,26130
kroB200.tsp,4,5,40619.906597,35347.230845,29437
kroC100.tsp,3,4,27632.821754,26988.722539,20749
kroD100.tsp,4,4,28599.080321,25523.894725,21294
kroE100.tsp,3,3,30978.579687,26553.370202,22068
nrw1379.tsp,22,159,77169.435485,70038.756874,56638
p654.tsp,5,8,49635.702884,44026.196044,34643
pcb1173.tsp,13,51,81895.216636,69136.291158,56892
pcb3038.tsp,58,848,195796.320216,165697.927005,137694
pcb442.tsp,5,10,71280.827472,59523.459304,50778
pr1002.tsp,10,58,351430.983859,312026.571164,259045
pr107.tsp,4,3,55954.649469,63874.606322,44303
pr124.tsp,3,4,82762.754697,77486.776738,59030
pr136.tsp,3,4,146985.689974,127528.216329,96772
pr144.tsp,4,4,77703.945296,88251.487464,58537
pr152.tsp,3,4,90290.550691,91205.345608,73682
pr226.tsp,4,5,114699.988971,113744.4617,80369
pr2392.tsp,36,541,528148.397048,474067.433077,378032
pr264.tsp,4,5,66408.447644,56996.297365,49135
pr299.tsp,4,6,66098.863189,60424.631013,48191
pr439.tsp,4,8,144156.094771,133049.369439,107217
pr76.tsp,3,4,147670.29505,144380.934049,108159
rat195.tsp,3,4,3265.078035,2707.606023,2323
rat575.tsp,5,16,9468.818872,8426.585988,6773
rat783.tsp,9,35,12018.995864,11077.92865,8806
rat99.tsp,4,3,1671.062074,1532.945775,1211
rd100.tsp,3,3,10467.19003,9910.23235,7910
rd400.tsp,5,12,20978.227444,18866.822824,15281
rl11849.tsp,1979,14348,1383449.362585,1115801.520257,923288
rl1304.tsp,18,30,376119.066939,308063.830516,252948
rl1323.tsp,18,30,390556.874881,335703.635351,270199
rl1889.tsp,35,71,452653.146188,380188.476214,316536
rl5915.tsp,273,789,850260.756574,667305.400268,565530
rl5934.tsp,271,940,853172.172705,654760.499928,556045
st70.tsp,3,3,861.765002,815.343903,815
ts225.tsp,3,4,188009.701629,162706.508643,126643
tsp225.tsp,3,5,5398.760765,4891.832483,3916
u1060.tsp,11,58,304205.062277,273467.825583,224094
u1432.tsp,17,165,214202.734953,188958.693062,152970
u159.tsp,3,4,54080.962841,52499.317099,42080
u1817.tsp,22,113,82299.042696,72464.158616,57201
u2152.tsp,34,179,94589.296094,79671.666958,64253
u2319.tsp,38,1159,320147.543698,290378.959295,234256
u574.tsp,5,16,50092.68836,44561.522281,36905
u724.tsp,10,28,60190.410775,50969.460477,41910
usa13509.tsp,1922,60438,27642095.20698,24482502.909187,19982859
vm1084.tsp,16,48,348841.282614,285753.867953,239297
vm1748.tsp,34,165,483461.386026,429105.10512,336556
